Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat,2024_25_sezon_maclari.csv,Sonuc,Ev_sahibi_ID,Misafir_ID,Hakem_ID,Gol_Farki
1150.0,https://www.tff.org/Default.aspx?pageId=397&macId=66411,BURSASPOR,0.0,ANKARASPOR A.Ş.,2.0,BURSA ATATÜRK,HÜSEYİN GÖÇEK,23.12.2007 - 14:00,,2,40,14,86,-2.0
1152.0,https://www.tff.org/Default.aspx?pageId=397&macId=66413,SİVASSPOR,2.0,GENÇLERBİRLİĞİ,8.0,SİVAS 4 EYLÜL,FIRAT AYDINUS,23.12.2007 - 15:30,,2,151,83,66,-6.0
1151.0,https://www.tff.org/Default.aspx?pageId=397&macId=66412,GENÇLERBİRLİĞİ OFTAŞSPOR,0.0,GALATASARAY A.Ş.,4.0,ANKARA 19 MAYIS,KUDDUSİ MÜFTÜOĞLU,23.12.2007 - 19:00,,2,86,76,94,-4.0
1155.0,https://www.tff.org/Default.aspx?pageId=397&macId=66416,GENÇLERBİRLİĞİ OFTAŞSPOR,1.0,GENÇLERBİRLİĞİ,4.0,ANKARA 19 MAYIS,İLKER MERAL,12.01.2008 - 13:30,,2,86,83,217,-3.0
1162.0,https://www.tff.org/Default.aspx?pageId=397&macId=66423,KASIMPAŞA,0.0,GAZİANTEPSPOR,77.0,ATATÜRK OLİMPİYAT,BÜLENT DEMİRLEK,12.01.2008 - 13:30,,2,102,79,37,-77.0
1161.0,https://www.tff.org/Default.aspx?pageId=397&macId=66422,KONYASPOR,1.0,BEŞİKTAŞ A.Ş.,3.0,KONYA ATATÜRK,HALİS ÖZKAHYA,12.01.2008 - 15:00,,2,112,34,75,-2.0
1156.0,https://www.tff.org/Default.aspx?pageId=397&macId=66417,ÇAYKUR RİZESPOR,2.0,GALATASARAY A.Ş.,2.0,RİZE ATATÜRK,VEDAT YÜKSEL,12.01.2008 - 19:00,,0,174,76,179,0.0
1158.0,https://www.tff.org/Default.aspx?pageId=397&macId=66419,BURSASPOR,1.0,DENİZLİSPOR,2.0,BURSA ATATÜRK,İSMET ARZUMAN,13.01.2008 - 13:30,,2,40,52,218,-1.0
1159.0,https://www.tff.org/Default.aspx?pageId=397&macId=66420,MKE ANKARAGÜCÜ,1.0,ANKARASPOR A.Ş.,3.0,ANKARA 19 MAYIS,FIRAT AYDINUS,13.01.2008 - 13:30,,2,130,14,66,-2.0
1160.0,https://www.tff.org/Default.aspx?pageId=397&macId=66421,VESTEL MANİSASPOR,0.0,KAYSERİSPOR,4.0,MANİSA 19 MAYIS,HÜSEYİN GÖÇEK,13.01.2008 - 13:30,,2,163,105,86,-4.0
1157.0,https://www.tff.org/Default.aspx?pageId=397&macId=66418,SİVASSPOR,2.0,TRABZONSPOR A.Ş.,61.0,SİVAS 4 EYLÜL,SELÇUK DERELİ,13.01.2008 - 15:15,,2,151,157,154,-59.0
1154.0,https://www.tff.org/Default.aspx?pageId=397&macId=66415,FENERBAHÇE,2.0,BÜYÜKŞEHİR BLD.SPOR,2.0,FB ŞÜKRÜ SARACOĞLU,CÜNEYT ÇAKIR,13.01.2008 - 19:00,,0,65,47,48,0.0
1168.0,https://www.tff.org/Default.aspx?pageId=397&macId=66429,BÜYÜKŞEHİR BLD.SPOR,0.0,SİVASSPOR,8.0,ATATÜRK OLİMPİYAT,VEDAT YÜKSEL,19.01.2008 - 13:30,,2,47,151,179,-8.0
1163.0,https://www.tff.org/Default.aspx?pageId=397&macId=66424,TRABZONSPOR A.Ş.,1.0,GENÇLERBİRLİĞİ OFTAŞSPOR,85.0,HÜSEYİN AVNİ AKER,OKTAY DEMİRAY,19.01.2008 - 15:00,,2,157,86,132,-84.0
1171.0,https://www.tff.org/Default.aspx?pageId=397&macId=66432,BEŞİKTAŞ A.Ş.,4.0,KASIMPAŞA,58.0,BEŞİKTAŞ İNÖNÜ,AYTEKİN DURMAZ,19.01.2008 - 19:00,,2,34,102,24,-54.0
1164.0,https://www.tff.org/Default.aspx?pageId=397&macId=66425,KAYSERİSPOR,3.0,KONYASPOR,2.0,BŞ BLD ATATÜRK,KUDDUSİ MÜFTÜOĞLU,20.01.2008 - 13:30,,1,105,112,94,1.0
1165.0,https://www.tff.org/Default.aspx?pageId=397&macId=66426,ANKARASPOR A.Ş.,1.0,VESTEL MANİSASPOR,2.0,YENİKENT ASAŞ,BÜLENT DEMİRLEK,20.01.2008 - 13:30,,2,14,163,37,-1.0
1166.0,https://www.tff.org/Default.aspx?pageId=397&macId=66427,DENİZLİSPOR,1.0,MKE ANKARAGÜCÜ,2.0,DENİZLİ ATATÜRK,HALİS ÖZKAHYA,20.01.2008 - 13:30,,2,52,130,75,-1.0
1167.0,https://www.tff.org/Default.aspx?pageId=397&macId=66428,GENÇLERBİRLİĞİ,4.0,ÇAYKUR RİZESPOR,3.0,ANKARA 19 MAYIS,CÜNEYT ÇAKIR,20.01.2008 - 13:30,,1,83,174,48,1.0
1169.0,https://www.tff.org/Default.aspx?pageId=397&macId=66430,GAZİANTEPSPOR,0.0,FENERBAHÇE,3.0,KAMİL OCAK,MUSTAFA KAMİL ABİTOĞLU,20.01.2008 - 15:00,,2,79,65,118,-3.0
1170.0,https://www.tff.org/Default.aspx?pageId=397&macId=66431,GALATASARAY A.Ş.,1.0,BURSASPOR,2.0,ALİ SAMİ YEN,BÜLENT YILDIRIM,20.01.2008 - 19:00,,2,76,40,40,-1.0
1175.0,https://www.tff.org/Default.aspx?pageId=397&macId=66436,GENÇLERBİRLİĞİ OFTAŞSPOR,3.0,BÜYÜKŞEHİR BLD.SPOR,4.0,ANKARA 19 MAYIS,GÖKHAN GÜNEŞER,26.01.2008 - 13:30,,2,86,47,68,-1.0
1172.0,https://www.tff.org/Default.aspx?pageId=397&macId=66433,BEŞİKTAŞ A.Ş.,3.0,GAZİANTEPSPOR,58.0,BEŞİKTAŞ İNÖNÜ,CÜNEYT ÇAKIR,26.01.2008 - 19:00,,2,34,79,48,-55.0
1174.0,https://www.tff.org/Default.aspx?pageId=397&macId=66435,VESTEL MANİSASPOR,3.0,DENİZLİSPOR,4.0,MANİSA 19 MAYIS,SELÇUK DERELİ,27.01.2008 - 13:30,,2,163,52,154,-1.0
1178.0,https://www.tff.org/Default.aspx?pageId=397&macId=66439,KASIMPAŞA,0.0,KAYSERİSPOR,77.0,ATATÜRK OLİMPİYAT,ÖZGÜÇ TÜRKALP,27.01.2008 - 13:30,,2,102,105,206,-77.0
1180.0,https://www.tff.org/Default.aspx?pageId=397&macId=66441,KONYASPOR,1.0,ANKARASPOR A.Ş.,3.0,KONYA ATATÜRK,İSMET ARZUMAN,27.01.2008 - 13:30,,2,112,14,218,-2.0
1179.0,https://www.tff.org/Default.aspx?pageId=397&macId=66440,SİVASSPOR,1.0,FENERBAHÇE,61.0,SİVAS 4 EYLÜL,YUNUS YILDIRIM,27.01.2008 - 14:00,,2,151,65,187,-60.0
1177.0,https://www.tff.org/Default.aspx?pageId=397&macId=66438,MKE ANKARAGÜCÜ,0.0,GALATASARAY A.Ş.,8.0,ANKARA 19 MAYIS,BÜLENT DEMİRLEK,27.01.2008 - 19:00,,2,130,76,37,-8.0
1176.0,https://www.tff.org/Default.aspx?pageId=397&macId=66437,BURSASPOR,2.0,GENÇLERBİRLİĞİ,2.0,BURSA ATATÜRK,HÜSEYİN GÖÇEK,28.01.2008 - 19:00,,0,40,83,86,0.0
1173.0,https://www.tff.org/Default.aspx?pageId=397&macId=66434,ÇAYKUR RİZESPOR,0.0,TRABZONSPOR A.Ş.,2.0,RİZE ATATÜRK,FIRAT AYDINUS,28.01.2008 - 20:00,,2,174,157,66,-2.0
1182.0,https://www.tff.org/Default.aspx?pageId=397&macId=66443,BÜYÜKŞEHİR BLD.SPOR,2.0,ÇAYKUR RİZESPOR,4.0,ATATÜRK OLİMPİYAT,UĞUR SÖYLEMEZ,9.02.2008 - 13:30,,2,47,174,176,-2.0
1183.0,https://www.tff.org/Default.aspx?pageId=397&macId=66444,KAYSERİSPOR,2.0,BEŞİKTAŞ A.Ş.,5.0,BŞ BLD ATATÜRK,BÜLENT DEMİRLEK,9.02.2008 - 14:00,,2,105,34,37,-3.0
1184.0,https://www.tff.org/Default.aspx?pageId=397&macId=66445,GALATASARAY A.Ş.,6.0,VESTEL MANİSASPOR,2.0,ALİ SAMİ YEN,BÜNYAMİN GEZER,9.02.2008 - 19:00,,1,76,163,41,4.0
1181.0,https://www.tff.org/Default.aspx?pageId=397&macId=66442,GENÇLERBİRLİĞİ,1.0,MKE ANKARAGÜCÜ,5.0,ANKARA 19 MAYIS,AYTEKİN DURMAZ,10.02.2008 - 13:30,,2,83,130,24,-4.0
1187.0,https://www.tff.org/Default.aspx?pageId=397&macId=66448,GAZİANTEPSPOR,0.0,SİVASSPOR,4.0,KAMİL OCAK,KUDDUSİ MÜFTÜOĞLU,10.02.2008 - 13:30,,2,79,151,94,-4.0
1188.0,https://www.tff.org/Default.aspx?pageId=397&macId=66449,DENİZLİSPOR,2.0,KONYASPOR,4.0,DENİZLİ ATATÜRK,CÜNEYT ÇAKIR,10.02.2008 - 13:30,,2,52,112,48,-2.0
1189.0,https://www.tff.org/Default.aspx?pageId=397&macId=66450,ANKARASPOR A.Ş.,2.0,KASIMPAŞA,2.0,YENİKENT ASAŞ,HAKAN ÖZKAN,10.02.2008 - 13:30,,0,14,102,71,0.0
1185.0,https://www.tff.org/Default.aspx?pageId=397&macId=66446,TRABZONSPOR A.Ş.,2.0,BURSASPOR,18.0,HÜSEYİN AVNİ AKER,SELÇUK DERELİ,10.02.2008 - 19:00,,2,157,40,154,-16.0
1186.0,https://www.tff.org/Default.aspx?pageId=397&macId=66447,FENERBAHÇE,3.0,GENÇLERBİRLİĞİ OFTAŞSPOR,3.0,FB ŞÜKRÜ SARACOĞLU,İSMET ARZUMAN,10.02.2008 - 19:00,,0,65,86,218,0.0
1192.0,https://www.tff.org/Default.aspx?pageId=397&macId=66453,ÇAYKUR RİZESPOR,2.0,FENERBAHÇE,3.0,RİZE ATATÜRK,ZAFER ÖNDER İPEK,15.02.2008 - 20:00,,2,174,65,194,-1.0
1190.0,https://www.tff.org/Default.aspx?pageId=397&macId=66451,BURSASPOR,2.0,BÜYÜKŞEHİR BLD.SPOR,8.0,BURSA ATATÜRK,MUSTAFA KAMİL ABİTOĞLU,16.02.2008 - 13:30,,2,40,47,118,-6.0
1191.0,https://www.tff.org/Default.aspx?pageId=397&macId=66452,GENÇLERBİRLİĞİ OFTAŞSPOR,0.0,SİVASSPOR,4.0,ANKARA 19 MAYIS,HALİS ÖZKAHYA,16.02.2008 - 13:30,,2,86,151,75,-4.0
1198.0,https://www.tff.org/Default.aspx?pageId=397&macId=66459,BEŞİKTAŞ A.Ş.,3.0,ANKARASPOR A.Ş.,5.0,BEŞİKTAŞ İNÖNÜ,YUNUS YILDIRIM,16.02.2008 - 19:00,,2,34,14,187,-2.0
